StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,questions_1_DO,questions_2_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the driver of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,"Please rate the extent to which you agree with the following statement: Autonomous robocars should be more aware, more attentive and more reactive than human drivers. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"Before this survey, how familiar were you with autonomous vehicle accident prevention algorithms?","Before this survey, how familiar were you with liability in autonomous vehicle accidents?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,questions_1 - Display Order,questions_2 - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}"
2022-11-14 09:47:31,2022-11-14 09:49:41,0,72.192.178.157,100,129,1,2022-11-14 09:49:41,R_tXqkLmT43dtUvIJ,,,,,32.7398,-117.027,anonymous,EN,1,2,2,0,0,11.886,0,0,0,11.099,0,100,0,0,0,60,21,100,100,1,1,33,0,1,,40,1,,Q90|negligence|vB_sue|vA_sue|defective,Q71|counterfactual|capability|fault
2022-11-14 09:48:23,2022-11-14 09:50:39,0,174.103.172.120,100,136,1,2022-11-14 09:50:39,R_2ZId0si54S8LFrZ,,,,,43.0818,-87.892,anonymous,EN,1,2,2,0,0,15.523,0,0,0,11.028,0,94,2,10,1,6,23,51,82,,1,38,38,1,,32,5,,Q90|defective|vB_sue|negligence|vA_sue,Q71|counterfactual|fault|capability
2022-11-14 09:47:52,2022-11-14 09:50:42,0,68.204.208.53,100,169,1,2022-11-14 09:50:42,R_3lFDAj05Xw3K6Mw,,,,,28.5978,-81.3024,anonymous,EN,1,2,2,0,0,17.04,0,0,0,11.538,0,100,0,0,0,97,2,8,90,,1,30,24,2,,61,3,,Q90|defective|vA_sue|vB_sue|negligence,Q71|capability|counterfactual|fault
2022-11-14 09:48:53,2022-11-14 09:51:00,0,155.178.180.11,100,127,1,2022-11-14 09:51:01,R_1Ia6fSvzUCTngTF,,,,,37.751,-97.822,anonymous,EN,1,2,2,0,0,18.198,0,0,0,15.584,0,66,42,58,33,55,40,44,41,,2,55,54,1,,37,4,,Q90|vA_sue|negligence|defective|vB_sue,Q71|capability|counterfactual|fault
2022-11-14 09:48:45,2022-11-14 09:51:17,0,73.30.125.50,100,151,1,2022-11-14 09:51:17,R_1rknI0sZ4nXIfF0,,,,,40.3061,-75.1483,anonymous,EN,1,2,2,0,0,11.503,0,9.421,9.421,17.69,1,100,0,0,0,2,1,50,82,,1,6,0,2,,35,5,,Q90|vB_sue|negligence|defective|vA_sue,Q71|capability|counterfactual|fault
2022-11-14 09:48:17,2022-11-14 09:51:22,0,74.128.165.2,100,184,1,2022-11-14 09:51:22,R_25SgdJjML3TJcx8,,,,,39.0217,-84.4989,anonymous,EN,1,2,2,0,0,20.276,0,0,0,12.12,0,88,10,4,5,7,7,14,19,,1,30,28,2,,33,4,,Q90|negligence|vA_sue|defective|vB_sue,Q71|capability|fault|counterfactual
2022-11-14 09:48:43,2022-11-14 09:51:34,0,198.137.18.190,100,170,1,2022-11-14 09:51:34,R_PClbu7wZbDnyBSp,,,,,33.9332,-83.3536,anonymous,EN,1,2,2,0,0,32.079,0,0,0,11.397,0,100,0,1,0,0,0,71,29,1,1,30,32,1,,22,3,,Q90|defective|vB_sue|negligence|vA_sue,Q71|fault|capability|counterfactual
2022-11-14 09:49:04,2022-11-14 09:51:42,0,75.4.177.95,100,157,1,2022-11-14 09:51:42,R_C1d9rbauA4KzfsR,,,,,33.1909,-96.6198,anonymous,EN,1,2,2,0,0,12.749,0,0,0,10.857,0,79,0,0,0,2,0,50,50,,1,13,7,2,,47,4,,Q90|vB_sue|vA_sue|negligence|defective,Q71|counterfactual|capability|fault
2022-11-14 09:49:12,2022-11-14 09:51:45,0,67.184.92.172,100,153,1,2022-11-14 09:51:45,R_23dg2Lwxz2iXEVy,,,,,41.9778,-88.2018,anonymous,EN,1,2,2,1.34,18.103,20.358,2,10.082,10.082,10.792,1,100,16,1,12,89,33,100,100,,1,30,13,2,,53,4,,Q90|defective|vB_sue|negligence|vA_sue,Q71|fault|capability|counterfactual
2022-11-14 09:51:24,2022-11-14 09:51:49,0,198.203.177.177,100,24,1,2022-11-14 09:51:49,R_30pHa4QgweW5SWA,,,,,37.751,-97.822,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14 09:50:16,2022-11-14 09:51:55,0,70.16.205.164,100,98,1,2022-11-14 09:51:55,R_AdgUXoys4S4Clod,,,,,44.6604,-70.1364,anonymous,EN,1,2,2,0,0,11.019,0,0,0,11.881,0,100,0,0,0,100,0,0,50,,1,50,50,1,,28,3,,Q90|negligence|vB_sue|vA_sue|defective,Q71|fault|counterfactual|capability
2022-11-14 09:49:30,2022-11-14 09:52:02,0,68.173.133.111,100,151,1,2022-11-14 09:52:02,R_2dhzb4cfNOVXY2A,,,,,41.4535,-74.4774,anonymous,EN,1,2,2,0,0,14.615,0,1.262,1.262,11.02,1,100,0,0,0,0,0,30,46,1,1,12,16,1,,27,1,,Q90|defective|vB_sue|vA_sue|negligence,Q71|capability|fault|counterfactual
2022-11-14 09:50:05,2022-11-14 09:52:07,0,130.44.246.158,100,122,1,2022-11-14 09:52:07,R_3dH4kaJRtOoMSjo,,,,,43.2678,-82.8243,anonymous,EN,1,2,2,0,0,12.334,0,8.644,8.931,15.796,3,50,0,0,0,0,50,100,50,,1,50,75,1,,42,3,,Q90|defective|vA_sue|negligence|vB_sue,Q71|fault|capability|counterfactual
2022-11-14 09:48:02,2022-11-14 09:52:14,0,174.86.56.150,100,251,1,2022-11-14 09:52:14,R_1DPi68h5lwwFgDh,,,,,38.5682,-89.8965,anonymous,EN,1,2,2,0,0,24.482,0,0,0,11.971,0,97,10,22,3,15,21,82,65,,1,53,32,2,,48,4,,Q90|vA_sue|vB_sue|negligence|defective,Q71|fault|capability|counterfactual
2022-11-14 09:50:11,2022-11-14 09:52:17,0,68.40.62.88,100,125,1,2022-11-14 09:52:17,R_RD2WvTMf91sGOI1,,,,,42.3068,-83.7059,anonymous,EN,1,2,2,0,0,11.516,0,0,0,11.795,0,72,25,26,25,48,49,49,100,,1,88,77,1,,20,3,,Q90|vA_sue|vB_sue|defective|negligence,Q71|fault|capability|counterfactual
2022-11-14 09:51:54,2022-11-14 09:52:19,0,198.203.177.177,100,25,1,2022-11-14 09:52:19,R_01xVaqelM390jv3,,,,,37.751,-97.822,anonymous,EN,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14 09:49:14,2022-11-14 09:52:27,0,74.65.215.100,100,193,1,2022-11-14 09:52:28,R_3hnccjmLZd1JYN0,,,,,40.7149,-73.9893,anonymous,EN,1,2,2,0,0,20.526,0,0,0,13.477,0,100,0,0,9,10,9,8,70,,1,10,10,1,,26,4,,Q90|vB_sue|vA_sue|defective|negligence,Q71|capability|counterfactual|fault
