StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,questions_1_DO,questions_2_DO,scales_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent,This is an attention check. John is taller than Paul. Who is shorter?,"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

 
How much do you agree: It would be reasonable to sue the driver of Vehicle A for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):

How much do you agree: It would be reasonable to sue the driver of Vehicle B for the serious injuries sustained by the occupant of Vehicle B. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree):
 

How much do you agree: Vehicle B is defective. - 1","Please rate the extent to which you agree with the following statement (0=completely disagree, 100=completely agree): 

 
How much do you agree: The behavior of Vehicle B was negligent. - 1","Now, please imagine that two people, Sam and Alex, are having the following discussion concerning what just happened:
 

Alex: ""I wonder how things could have gone differently.""

Sam: ""Well, I really wonder what would've happened if the occupant of Vehicle B had more control of the vehicle.”

Alex: ""Really? Of all the ways things could have gone differently, that doesn't seem like the one that's worth thinking about.""

 

Please rate the extent to which you agree with Sam below: - 1",How much do you agree: Vehicle B should have been able to avoid this accident. - 1,How much do you agree: Vehicle B should avoid accidents when it is not necessarily at fault. - 1,"Please rate the extent to which you agree with the following statement: Autonomous robocars should be more aware, more attentive and more reactive than human drivers. - 1",Which of the following was true about Vehicle B?,Which of the following was true about the video?,"How much do you agree: I would be willing to let an AV 
make important driving decisions without my 
involvement. - 1","How much do you agree: If I was unable to monitor 
my driving activities, I would be willing to trust an AV to get the job done right. - 1",How much do you agree: I trust an AV to do things I can't do myself. - 1,How much do you agree: I trust an AV to do things my vehicle can't do itself. - 1,How much do you agree: I generally do not trust an AV. - 1,"Relative to the average person, how familiar are you with autonomous vehicle accident prevention algorithms?","Relative to the average person, how familiar are you with the laws regarding who is at fault in a car accident?",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your age (in years)?,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,questions_1 - Display Order,questions_2 - Display Order,scales - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID96""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""BL_9GfzF27Xb7bM06i_DO""}","{""ImportId"":""BL_7O2TnwoTMaIzhJ4_DO""}","{""ImportId"":""BL_7TGzTAcDG4EWCXk_DO""}"
2022-10-11 16:50:53,2022-10-11 16:53:21,0,97.113.101.211,100,148,1,2022-10-11 16:53:22,R_30dF1LP8vMcoPPM,,,,,47.5364,-122.278,anonymous,EN,1,2,2,0,0,10.86,0,0,0,10.491,0,100,0,0,0,1,15,60,80,,1,,,,,,30,88,1,,34,1,,Q90|vA_sue|negligence|defective|vB_sue,Q71|counterfactual|fault|capability,
2022-10-11 16:50:49,2022-10-11 16:53:25,0,130.44.143.14,100,155,1,2022-10-11 16:53:25,R_1MWH1WssUAHvHAn,,,,,42.3797,-71.1034,anonymous,EN,1,2,2,1.629,1.629,16.878,1,10.206,10.206,12.335,1,93,9,13,6,27,30,30,81,,1,,,,,,25,62,1,,29,4,,Q90|vB_sue|defective|negligence|vA_sue,Q71|capability|fault|counterfactual,
2022-10-11 16:52:00,2022-10-11 16:53:35,0,63.230.238.11,100,94,1,2022-10-11 16:53:35,R_3Kxugn4EfpUIqrG,,,,,33.5132,-112.083,anonymous,EN,1,2,2,3.481,8.781,10.947,3,4.451,5.526,10.823,2,78,87,22,19,60,18,60,65,1,1,,,,,,65,28,1,,24,4,,Q90|vA_sue|vB_sue|negligence|defective,Q71|capability|counterfactual|fault,
2022-10-11 16:51:40,2022-10-11 16:54:16,0,68.4.166.206,100,156,1,2022-10-11 16:54:16,R_115zs7OGzfN3Ev3,,,,,33.4339,-117.6221,anonymous,EN,1,2,2,0,0,22.791,0,10.559,10.782,10.976,2,100,0,0,0,0,0,50,100,,1,,,,,,50,50,1,,32,1,,Q90|vA_sue|defective|vB_sue|negligence,Q71|fault|counterfactual|capability,
2022-10-11 16:51:18,2022-10-11 16:54:17,0,76.102.45.49,100,178,1,2022-10-11 16:54:18,R_2uVbh0BEFAnQHWp,,,,,37.3417,-121.9753,anonymous,EN,1,2,2,0,0,12.768,0,0,0,10.7,0,50,30,0,0,0,0,52,51,1,1,,,,,,50,50,1,,33,3,,Q90|negligence|defective|vB_sue|vA_sue,Q71|capability|counterfactual|fault,
2022-10-11 16:50:39,2022-10-11 16:54:28,0,76.250.65.144,100,228,1,2022-10-11 16:54:28,R_2f2RRVYdV0XDGK2,,,,,29.7335,-95.5564,anonymous,EN,1,2,2,0,0,17.948,0,0,0,13.282,0,100,0,0,0,3,5,92,53,,1,,,,,,61,94,2,,68,3,,Q90|defective|vB_sue|vA_sue|negligence,Q71|fault|counterfactual|capability,
2022-10-11 16:53:08,2022-10-11 16:55:02,0,72.211.151.108,100,114,1,2022-10-11 16:55:03,R_1eUUoSeFmM3I5g0,,,,,33.2409,-111.7792,anonymous,EN,1,2,2,0,0,16.203,0,0,0,11.528,0,100,0,0,0,7,5,5,100,,1,,,,,,67,25,1,,33,5,,Q90|vB_sue|defective|negligence|vA_sue,Q71|capability|fault|counterfactual,
2022-10-11 16:51:09,2022-10-11 16:55:33,0,76.137.146.223,100,264,1,2022-10-11 16:55:33,R_3FLK5M0qUIWf88A,,,,,37.6752,-120.9465,anonymous,EN,1,2,2,0,0,17.504,0,0,0,10.629,0,100,0,25,0,0,0,50,80,,1,,,,,,50,50,1,,33,3,,Q90|vA_sue|vB_sue|defective|negligence,Q71|capability|counterfactual|fault,
